word,count
NO.,14083
ACT,11867
AMENDMENT,4288
AND,2261
TAX,1681
LEGISLATION,1044
OF,989
TARIFF,659
APPROPRIATION,656
CUSTOMS,646
SALES,522
NO,487
AUSTRALIAN,482
GRANTS,459
INCOME,444
LEVY,443
STATES,435
ASSESSMENT,389
ASSISTANCE,386
SERVICES,383
NATIONAL,380
MEASURES,349
COMMONWEALTH,329
LAWS,328
INDUSTRY,324
EXPORT,308
HEALTH,303
EXCISE,276
SOCIAL,271
SUPPLY,266
SERVICE,263
BOUNTY,258
LOAN,257
EDUCATION,249
OTHER,233
SUPERANNUATION,233
NEW,226
CONSEQUENTIAL,222
AMENDMENTS,219
CHARGE,216
WORKS,208
SECURITY,205
THE,195
DEFENCE,194
INSURANCE,193
WOOL,187
TAXATION,185
PROVISIONS,184
AGREEMENT,179
TERRITORY,179
WAR,174
COMMISSION,173
INTERNATIONAL,173
DEVELOPMENT,166
VALIDATION,160
FINANCIAL,159
CHARGES,151
PUBLIC,144
PROTECTION,143
PENSIONS,141
RESEARCH,139
COLLECTION,134
PARLIAMENTARY,131
WHEAT,127
BROADCASTING,124
TRADE,124
PETROLEUM,123
MIGRATION,122
ADMINISTRATION,122
LAW,122
AUSTRALIA,118
GRANT,118
SUPPLEMENTARY,117
FEES,112
TRANSITIONAL,110
FOR,108
PREFERENCE,106
CAPITAL,105
BUILDINGS,105
TELECOMMUNICATIONS,104
REPEAL,103
BENEFITS,103
VETERANS,102
NORTHERN,102
FAMILY,100
AGREEMENTS,98
LAND,97
REPATRIATION,97
FUND,96
AFFAIRS,96
CORPORATION,94
SYSTEM,94
TO,94
A,91
ENERGY,90
TRANSPORT,90
DUTY,89
HOUSING,88
BUDGET,88
OVERSEAS,84
ELECTORAL,84
FRUITS,83
CRIMES,82
LICENCE,81
SPECIAL,81
DAIRY,81
PRIMARY,80
CONTRIBUTION,80
COMPENSATION,80
ALLOWANCES,80
ARBITRATION,80
INDUSTRIES,79
ABORIGINAL,79
AIR,76
MEAT,76
NAVIGATION,75
SUPPORT,74
AUTHORITY,74
LANDS,72
ADJUSTMENT,71
EXEMPTIONS,71
RATES,70
CORPORATIONS,69
CONTROL,69
TELEVISION,69
HIGHER,68
MISCELLANEOUS,68
REFORM,67
HOMES,66
GOVERNMENT,66
ZEALAND,66
CLASSIFICATIONS,65
LIVE-STOCK,64
REGISTRATION,63
CONCILIATION,63
GUINEA,60
WINE,60
COMMUNITY,60
PRODUCE,60
BANK,60
GUARANTEE,60
RETIREMENT,59
MARKETING,58
FISHERIES,58
STEVEDORING,58
IMPOSITION,57
OLD-AGE,57
COMPANIES,57
DEPARTMENTS,56
COAL,56
FUEL,56
APPLE,56
PEAR,55
CARE,55
COURT,55
RIGHTS,55
BUSINESS,55
STATE,55
DRIED,55
SCHOOLS,54
STABILIZATION,54
PAPUA,54
GOODS,53
EMPLOYEES,53
AVIATION,53
EMPLOYMENT,53
MEDICARE,52
LOANS,52
CRIMINAL,52
SLAUGHTER,52
SECURITIES,52
RELATIONS,52
INVALID,52
SEA,51
TRAINING,51
ACTS,51
SAFETY,50
FUNDING,50
STUDENTS,50
PRACTICES,49
SURVEY,48
PAYMENTS,47
UNIVERSITIES,47
APPLICATION,47
FORCES,47
RELIEF,45
SEAMENS,45
POST,45
TELEGRAPH,45
PRODUCTS,45
RESIDUE,44
REFERENDUM,44
FEDERAL,44
ROADS,44
FOREIGN,44
SUBMERGED,44
INSPECTION,43
FUNDS,43
SOUTH,43
INDUSTRIAL,43
RAILWAY,43
EQUIPMENT,43
ENVIRONMENT,42
CHILD,42
CODE,42
GAS,42
SUGAR,41
LEVIES,41
ROAD,41
AGRICULTURAL,40
OFFSHORE,40
REMUNERATION,40
AGED,40
PRIVATE,40
SUBSIDY,40
TRUST,39
OIL,39
BANKRUPTCY,39
STANDARDS,39
FURTHER,39
GENERAL,39
THERAPEUTIC,39
COUNCIL,39
SCHEME,39
TEMPORARY,38
SUPERVISORY,38
AIRLINES,38
SHIPPING,37
CATTLE,37
STRAIT,37
INDIGENOUS,37
STATUTE,37
JUDICIARY,36
ENTITLEMENTS,36
FORCE,36
PAY-ROLL,36
WAR-TIME,35
LIMITED,35
GREENHOUSE,34
HUNDRED,34
PATENTS,34
TERRITORIES,34
ANTI-DUMPING,34
MINISTERS,34
COMMITTEE,34
CANNED,34
ARRANGEMENTS,33
ADVANCED,33
TOBACCO,33
CONTRIBUTIONS,33
MARKET,33
WATER,33
MANAGEMENT,33
LIABILITY,33
SCIENCE,33
ISLAND,33
COMMUNICATIONS,32
