img,Name,Party,Period in office,Length of term
EdmundBarton.jpg,"Barton, Sir Edmund",PROT,01.01.1901 – 24.09.1903,"2 yrs, 8 mths, 24 days"
AlfredDeakin.jpg,"Deakin, Alfred",PROT,24.09.1903 – 27.04.1904,"7 mths, 4 days"
ChrisWatson.jpg,"Watson, John Christian",ALP,27.04.1904 – 17.08.1904,"3 mths, 21 days"
GeorgeReid.jpg,"Reid, George Houstoun (later Sir George)",FT,18.08.1904 – 05.07.1905,"10 mths, 18 days"
AlfredDeakin.jpg,"Deakin, Alfred",PROT,05.07.1905 – 13.11.1908,"3 yrs, 4 mths, 9 days"
AndrewFisher.jpg,"Fisher, Andrew",ALP,13.11.1908 – 02.06.1909,"6 mths, 21 days"
AlfredDeakin.jpg,"Deakin, Alfred",PROT,02.06.1909 – 29.04.1910,"10 mths, 28 days"
AndrewFisher.jpg,"Fisher, Andrew",ALP,29.04.1910 – 24.06.1913,"3 yrs, 1 mth, 26 days"
JosephCook.jpg,"Cook, Joseph (later Sir Joseph)",LIB,24.06.1913 – 17.09.1914,"1 yr, 2 mths, 25 days"
AndrewFisher.jpg,"Fisher, Andrew",ALP,17.09.1914 – 27.10.1915,"1 yr, 1 mth, 11 days"
WilliamMorrisHughes.jpg,"Hughes, William Morris",ALP,27.10.1915 – 09.02.1923,"7 yrs, 3 mths, 14 days"
WilliamMorrisHughes.jpg,"Hughes, William Morris",NAT LAB,14.11.1916 – 17.02.1917,
WilliamMorrisHughes.jpg,"Hughes, William Morris",NAT,17.02.1917 – 09.02.1923,
StanleyMelbourneBruce.jpg,"Bruce, Stanley Melbourne",NAT,09.02.1923 – 22.10.1929,"6 yrs, 8 mths, 14 days"
JamesScullin.jpg,"Scullin, James Henry",ALP,22.10.1929 – 06.01.1932,"2 yrs, 2 mths, 16 days"
JosephLyons.jpg,"Lyons, Joseph Aloysius",UAP,06.01.1932 – 09.11.1934,"7 yrs, 3 mths, 2 days"
JosephLyons.jpg,"Lyons, Joseph Aloysius",UAP,09.11.1934 – 07.04.1939,
EarlePage.jpg,"Page, Earle Christmas Grafton",CP,07.04.1939 – 26.04.1939,20 days
RobertMenzies.jpg,"Menzies, Robert Gordon",UAP,26.04.1939 – 14.03.1940,"2 yrs, 4 mths, 4 days"
RobertMenzies.jpg,"Menzies, Robert Gordon",UAP,14.03.1940 – 29.08.1941,
ArthurFadden.jpg,"Fadden, Arthur William (later Sir Arthur)",CP,29.08.1941 – 07.10.1941,"1 mth, 9 days"
JohnCurtin.jpg,"Curtin, John",ALP,07.10.1941 – 05.07.1945,"3 yrs, 8 mths, 29 days"
FrancisForde.jpg,"Forde, Francis Michael",ALP,06.07.1945 – 13.07.1945,8 days
BenChifley.jpg,"Chifley, Joseph Benedict",ALP,13.07.1945 – 19.12.1949,"4 yrs, 5 mths, 7 days"
RobertMenzies.jpg,"Menzies, Robert Gordon (later Sir Robert)",LP,19.12.1949 – 26.01.1966,"16 yrs, 1 mth, 8 days"
HaroldHolt.jpg,"Holt, Harold Edward",LP,26.01.1966 – 19.12.1967,"1 yr, 10 mths, 23 days"
JohnMcEwen.jpg,"McEwen, John",CP,19.12.1967 – 10.01.1968,23 days
JohnGorton.jpg,"Gorton, John Grey",LP,10.01.1968 – 10.03.1971,"3 yrs, 2 mths"
WilliamMcMahon.jpg,"McMahon, William (later Sir William)",LP,10.03.1971 – 05.12.1972,"1 yr, 8 mths, 25 days"
GoughWhitlam.jpg,"Whitlam, Edward Gough",ALP,05.12.1972 – 11.11.1975,"2 yrs, 11 mths, 7 days"
MalcolmFraser.jpg,"Fraser, John Malcolm",LP,11.11.1975 – 11.03.1983,"7 yrs, 4 mths"
RobertHawke.jpg,"Hawke, Robert James Lee",ALP,11.03.1983 – 20.12.1991,"8 yrs, 9 mths, 10 days"
PaulKeating.jpg,"Keating, Paul John",ALP,20.12.1991 – 11.03.1996,"4 yrs, 2 mths, 20 days"
JohnHoward.jpg,"Howard, John Winston",LP,11.03.1996 – 03.12.2007,"11 yrs, 8 mths, 22 days"
KevinRudd.jpg,"Rudd, Kevin",ALP,03.12.2007 – 24.06.2010,"2 years, 6 months, 21 days"
JuliaGillard.jpg,"Gillard, Julia",ALP,24.06.2010 – 27.06.2013,"3 years, 3 days"
KevinRudd.jpg,"Rudd, Kevin",ALP,27.06.2013 – 18.09.2013,"2 months, 22 days"
TonyAbbott.jpg,"Abbott, Tony",LP,18.09.2013 – present, 
