region_id,median_mortgage,average_household_size,median_household_income,percent_female_earner,percent_no_internet,percent_unemployment,percent_public_transport,percent_born_managers
101011001,1480.0,2.4,967.0,0.29,16.3,6.1,0.01,0.1
101011002,1600.0,2.4,986.0,0.26,17.1,3.9,0.01,0.24
101011003,1800.0,2.5,1276.0,0.24,14.5,3.0,0.03,0.13
101011004,2000.0,2.7,1724.0,0.14,18.7,2.0,0.02,0.24
101011005,1300.0,2.5,815.0,0.32,16.6,6.5,0.01,0.14
101011006,1010.0,2.4,766.0,0.33,15.7,5.3,0.01,0.31
101021007,1517.0,2.3,913.0,0.23,18.6,4.1,0.01,0.23
101021008,1900.0,2.7,1543.0,0.2,20.7,3.3,0.02,0.1
101021009,1733.0,2.1,1270.0,0.24,18.5,3.5,0.03,0.1
101021010,1950.0,2.2,1399.0,0.19,18.9,3.0,0.03,0.12
101021011,2167.0,2.9,2158.0,0.09,17.8,2.2,0.01,0.19
101021012,2383.0,3.0,2395.0,0.09,16.4,2.2,0.01,0.18
101031013,920.0,2.2,798.0,0.35,12.4,3.9,0.01,0.24
101031014,1200.0,2.3,886.0,0.28,16.0,5.4,0.0,0.13
101031015,1340.0,2.4,980.0,0.23,19.9,3.3,0.01,0.28
101031016,1582.0,2.5,1353.0,0.14,17.7,2.1,0.04,0.2
101041017,1517.0,2.3,776.0,0.28,16.3,7.7,0.01,0.11
101041018,1517.0,2.3,814.0,0.22,16.4,8.2,0.01,0.12
101041019,1300.0,2.4,902.0,0.27,15.9,4.6,0.01,0.11
101041020,1200.0,2.5,845.0,0.21,21.6,6.3,0.01,0.18
101041021,1560.0,2.2,826.0,0.23,15.6,6.9,0.01,0.11
101041022,900.0,2.8,1041.0,0.24,63.6,0.0,0.0,0.45
101041023,1500.0,2.3,796.0,0.32,13.3,8.1,0.02,0.1
101041024,1300.0,2.4,848.0,0.22,22.4,6.9,0.01,0.18
101041025,1473.0,2.2,866.0,0.23,15.8,5.6,0.01,0.15
101041026,1300.0,2.3,794.0,0.27,18.5,7.8,0.01,0.11
101041027,1300.0,2.1,726.0,0.28,16.9,6.9,0.01,0.14
102011028,2167.0,2.8,1468.0,0.11,15.8,4.6,0.08,0.13
102011029,2000.0,2.5,1151.0,0.17,14.9,5.4,0.14,0.13
102011030,1950.0,2.7,1179.0,0.18,15.6,4.3,0.05,0.25
102011031,2000.0,2.5,1019.0,0.22,12.1,4.9,0.09,0.14
102011032,1733.0,2.2,995.0,0.21,17.8,6.9,0.19,0.11
102011033,1974.0,3.1,1455.0,0.1,13.4,5.2,0.1,0.11
102011034,2000.0,2.5,937.0,0.25,13.0,5.9,0.09,0.1
102011035,1733.0,2.8,1298.0,0.13,16.0,5.9,0.16,0.09
102011036,1800.0,2.9,1446.0,0.12,16.5,5.4,0.14,0.11
102011037,2000.0,2.5,1125.0,0.19,16.4,5.3,0.23,0.11
102011038,2000.0,2.6,1119.0,0.18,15.2,5.7,0.07,0.12
102011039,2167.0,2.5,1380.0,0.14,15.5,5.3,0.09,0.15
