rain-1,temp-1,minQ-1,maxQ-1,medianQ-1,i6-1,i30-1,U-1,CMD-1,year-1,month-1,day-1,flag-1,???-1,rain,temp,minQ,maxQ,medianQ,i6,i30,U,CMD,Year,Month,day,flag,???,Sub-catchment,Site,Date,Temperature (Degrees C),pH (units),Electrical Conductivity (µS/cm),Turbidity (NTU),Dissolved Oxygen (mg/L),Dissolved Oxygen (% Saturation),Total Nitrogen (mg/L),Ammonia (mg/L),Nitrite (mg/L),Nitrate (mg/L), Oxidised Nitrogen (mg/L as N),Available Nitrogen (mg/L),Total Phosphorus (mg/L),Orthophosphate (mg/L),Available Phosphorus (mg/L),E. coli (CFU/100mL),Total Dissolved Solids (mg/L),Suspended Solids (mg/L),Total Organic Carbon (mg/L),Chlorophyll a (ug/L),Feacal Coli - Presumptive (CFU/100mL),Feacal Coli - Confirmed (CFU/100mL),Biological Oxygen Demand (mg/L),Chloride (mg/L),Sulphate (mg/L),True Colour (Pt-Co),Alkalinity - Bicarb (mg/L),Alkalinity - Carb (mg/L),Alkalinity - Hydrox (mg/L),Alkalinity - Total (mg/L),Bromide (mg/L),Calcium Hardness (mg/L),Chlorine Residual - Combined (mg/L),Chlorine Residual - Free (mg/L),Chlorine Residual - Total (mg/L),Dissolved Organic Carbon (mg/L),Estimated River Flow (m3 s),Fluoride (mg/L),Gauged Effluent Flow (L/s),Gauge Height (m),Instantaneous Gauge Flow (m3 s),Total Kjeldahl Nitrogen (mg/L as N),Total Hardness (mg/L),Flow Percentile (%),Tributyl Tin (ngSn/L),UV Abs 1cm @ 254 (abs/cm),Apparent Colour (Pt-Co),Glyphosate (mg/L),Metsulfuran methyl (µg/L),C10 - C14 Fraction (µg/L),C10 - C36 Fraction (sum - µg/L),C15 - C28 Fraction (µg/L),C29 - C36 Fraction (µg/L),C6 - C9 Fraction (µg/L),>C10 - C16 Fraction (µg/L),>C10 - C16 Fraction minus Naphthalene (F2 - µg/L),>C10 - C40 Fraction (sum - µg/L),>C16 - C34 Fraction (µg/L),>C34 - C40 Fraction (µg/L),C6 - C10 Fraction (µg/L),C6 - C10 Fraction  minus BTEX (F1 - µg/L),Thermotolerant Faecal Coliforms - Confirmed (CFU/100mL),Thermotolerant Faecal Coliforms - Presumptive (CFU/100mL),Enterococci - Confirmed (CFU/100mL),Enterococci - Presumptive (CFU/100mL),-9999,-9999,-9999
  13.8,  15.4,      -1.000,      -1.000,      -1.000,  17.60,  10.50,   0.93, 192.15,1993,10,19,   0,70784,   0.0,  17.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 194.04,1993,10,20,   0,70785,Riverview-West Belconnen,MUR224,20 10 1993,14.1,8.1,131,10,10.3,-9999,0.82,0.008,-9999,-9999,0.506,-9999,0.033,0.007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  17.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 194.04,1993,10,20,   0,70785,   0.0,  17.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 195.95,1993,10,21,   0,70786,Riverview-West Belconnen,MUR213,21 10 1993,-9999,-9999,117,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.021,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   3.8,  17.7,      -1.000,      -1.000,      -1.000,   7.10,   1.70,   0.18, 209.89,1993,11, 2,   0,70798,   6.6,  17.0,      -1.000,      -1.000,      -1.000,  17.70,   7.60,   0.32, 205.25,1993,11, 3,   0,70799,Riverview-West Belconnen,MUR224,3 11 1993,17.5,8.2,166,6.2,10.5,-9999,1.6,0.006,-9999,-9999,1.202,-9999,0.032,0.005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   6.6,  17.0,      -1.000,      -1.000,      -1.000,  17.70,   7.60,   0.32, 205.25,1993,11, 3,   0,70799,   0.0,  13.9,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 206.56,1993,11, 4,   0,70800,Riverview-West Belconnen,MUR213,4 11 1993,-9999,8.2,127.5,1.5,-9999,-9999,0.22,0.003,-9999,-9999,0.003,-9999,0.018,0.004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  21.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 193.01,1993,11,15,   0,70811,   0.0,  23.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 195.63,1993,11,16,   0,70812,Riverview-West Belconnen,MUR213,16 11 1993,-9999,-9999,141,1.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  23.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 195.63,1993,11,16,   0,70812,   0.0,  26.3,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 198.42,1993,11,17,   0,70813,Riverview-West Belconnen,MUR224,16 11 1993,18.8,7.9,154,11,8.2,-9999,1.3,0.012,-9999,-9999,0.916,-9999,0.046,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.63,-9999,-9999,-9999,-9999,0.38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  26.2,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 211.15,1993,11,29,   0,70825,   0.0,  29.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 213.69,1993,11,30,   0,70826,Riverview-West Belconnen,MUR224,30 11 1993,22.1,8.9,233,5,7.4,-9999,4.2,0.097,-9999,-9999,3.68,-9999,0.036,0.007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.31,-9999,-9999,-9999,-9999,0.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   7.6,  25.0,      -1.000,      -1.000,      -1.000,   8.10,   4.40,   0.32, 227.80,1993,12,14,   0,70840,   1.6,  24.0,      -1.000,      -1.000,      -1.000,   0.70,   0.60,   0.07, 228.01,1993,12,15,   0,70841,Riverview-West Belconnen,MUR213,15 12 1993,21.3,8.4,155,1.9,8.4,-9999,0.28,0.003,-9999,-9999,0.002,-9999,0.014,0.004,-9999,-9999,-9999,3,-9999,2.1,47,38,-9999,-9999,-9999,15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.708,1.556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   1.6,  24.0,      -1.000,      -1.000,      -1.000,   0.70,   0.60,   0.07, 228.01,1993,12,15,   0,70841,   0.0,  24.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 229.71,1993,12,16,   0,70842,Riverview-West Belconnen,MUR224,15 12 1993,21.1,8.7,530,5,7.7,-9999,5.7,0.606,-9999,-9999,4.409,-9999,0.051,0.006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5,-9999,-9999,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.26,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  29.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 235.34,1993,12,19,   0,70845,   0.0,  30.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 237.32,1993,12,20,   0,70846,Riverview-West Belconnen,MUR224,20 12 1993,22.3,7.9,281,5.2,7.3,-9999,5.7,0.601,-9999,-9999,4.263,-9999,0.064,0.009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.96,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  26.7,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 255.00,1994, 1,10,   0,70867,   0.0,  30.4,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 256.54,1994, 1,11,   0,70868,Riverview-West Belconnen,MUR224,11 01 1994,22.5,8.5,355,4.4,8.4,-9999,10,0.032,-9999,-9999,7.71,-9999,0.047,0.012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.9,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  30.4,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 256.54,1994, 1,11,   0,70868,   0.0,  35.4,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 258.30,1994, 1,12,   0,70869,Riverview-West Belconnen,MUR213,12 01 1994,-9999,-9999,203,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.017,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   4.8,  27.8,      -1.000,      -1.000,      -1.000,  10.30,   3.50,   0.17, 260.21,1994, 1,17,   0,70874,   0.0,  29.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 261.62,1994, 1,18,   0,70875,Riverview-West Belconnen,MUR213,18 01 1994,21.9,8.3,203,2.4,6.9,-9999,0.34,0.004,-9999,-9999,0.003,-9999,0.016,0.001,-9999,-9999,-9999,3.6,-9999,2.5,18,18,0.5,-9999,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.534,0.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  29.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 261.62,1994, 1,18,   0,70875,   0.0,  30.1,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 263.03,1994, 1,19,   0,70876,Riverview-West Belconnen,MUR224,18 01 1994,23.3,8.5,389,2.7,7.7,-9999,11,0.174,-9999,-9999,9.3,-9999,0.06,0.014,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5,-9999,-9999,15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
