rain-1,temp-1,minQ-1,maxQ-1,medianQ-1,i6-1,i30-1,U-1,CMD-1,year-1,month-1,day-1,flag-1,???-1,rain,temp,minQ,maxQ,medianQ,i6,i30,U,CMD,Year,Month,day,flag,???,Sub-catchment,Site,Date,Temperature (Degrees C),pH (units),Electrical Conductivity (µS/cm),Turbidity (NTU),Dissolved Oxygen (mg/L),Dissolved Oxygen (% Saturation),Total Nitrogen (mg/L),Ammonia (mg/L),Nitrite (mg/L),Nitrate (mg/L), Oxidised Nitrogen (mg/L as N),Available Nitrogen (mg/L),Total Phosphorus (mg/L),Orthophosphate (mg/L),Available Phosphorus (mg/L),E. coli (CFU/100mL),Total Dissolved Solids (mg/L),Suspended Solids (mg/L),Total Organic Carbon (mg/L),Chlorophyll a (ug/L),Feacal Coli - Presumptive (CFU/100mL),Feacal Coli - Confirmed (CFU/100mL),Biological Oxygen Demand (mg/L),Chloride (mg/L),Sulphate (mg/L),True Colour (Pt-Co),Alkalinity - Bicarb (mg/L),Alkalinity - Carb (mg/L),Alkalinity - Hydrox (mg/L),Alkalinity - Total (mg/L),Bromide (mg/L),Calcium Hardness (mg/L),Chlorine Residual - Combined (mg/L),Chlorine Residual - Free (mg/L),Chlorine Residual - Total (mg/L),Dissolved Organic Carbon (mg/L),Estimated River Flow (m3 s),Fluoride (mg/L),Gauged Effluent Flow (L/s),Gauge Height (m),Instantaneous Gauge Flow (m3 s),Total Kjeldahl Nitrogen (mg/L as N),Total Hardness (mg/L),Flow Percentile (%),Tributyl Tin (ngSn/L),UV Abs 1cm @ 254 (abs/cm),Apparent Colour (Pt-Co),Glyphosate (mg/L),Metsulfuran methyl (µg/L),C10 - C14 Fraction (µg/L),C10 - C36 Fraction (sum - µg/L),C15 - C28 Fraction (µg/L),C29 - C36 Fraction (µg/L),C6 - C9 Fraction (µg/L),>C10 - C16 Fraction (µg/L),>C10 - C16 Fraction minus Naphthalene (F2 - µg/L),>C10 - C40 Fraction (sum - µg/L),>C16 - C34 Fraction (µg/L),>C34 - C40 Fraction (µg/L),C6 - C10 Fraction (µg/L),C6 - C10 Fraction  minus BTEX (F1 - µg/L),Thermotolerant Faecal Coliforms - Confirmed (CFU/100mL),Thermotolerant Faecal Coliforms - Presumptive (CFU/100mL),Enterococci - Confirmed (CFU/100mL),Enterococci - Presumptive (CFU/100mL),-9999,-9999,-9999
   4.8,  27.8,      -1.000,      -1.000,      -1.000,  10.30,   3.50,   0.17, 260.21,1994, 1,17,   0,70874,   0.0,  29.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 261.62,1994, 1,18,   0,70875,Lake Tuggeranong,TUG238,18 01 1994,19.6,7.8,270,34,6.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.032,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  31.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 261.59,1994, 2,23,   0,70911,   0.0,  29.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 262.98,1994, 2,24,   0,70912,Lake Tuggeranong,LTG257,24 02 1994,22.5,9.2,265,21,-9999,-9999,0.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  24.2,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 252.20,1994, 3, 2,   0,70918,   0.0,  27.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 253.61,1994, 3, 3,   0,70919,Lake Tuggeranong,LTG257,3 03 1994,19.4,9,-9999,18,-9999,-9999,0.61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  21.7,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 258.58,1994, 3, 7,   0,70923,   0.0,  25.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 259.82,1994, 3, 8,   0,70924,Lake Tuggeranong,LTG257,8 03 1994,23.5,9,-9999,14,-9999,-9999,0.49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  23.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 248.60,1994, 3,16,   0,70932,   0.0,  17.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 249.58,1994, 3,17,   0,70933,Lake Tuggeranong,LTG257,17 03 1994,17.4,7.9,-9999,22,-9999,-9999,0.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  24.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 256.54,1994, 3,23,   0,70939,   0.0,  21.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 257.61,1994, 3,24,   0,70940,Lake Tuggeranong,LTG257,24 03 1994,18.7,7.9,-9999,17,-9999,-9999,0.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  19.9,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 222.24,1994, 4,20,   0,70967,   0.0,  19.5,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 223.73,1994, 4,21,   0,70968,Lake Tuggeranong,LTG257,21 04 1994,15.5,7.7,-9999,20,-9999,-9999,0.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  22.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 233.16,1994, 4,27,   0,70974,   0.0,  24.0,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 234.76,1994, 4,28,   0,70975,Lake Tuggeranong,TUG061,28 04 1994,10,7.46,0.382,4.6,9.26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   3.0,  12.5,      -1.000,      -1.000,      -1.000,   6.40,   1.60,   0.11, 251.34,1994, 7,12,   0,71050,   0.2,  12.4,      -1.000,      -1.000,      -1.000,   1.60,   0.40,   0.01, 251.81,1994, 7,13,   0,71051,Lake Tuggeranong,TUG238,13 07 1994,7.8,8.2,220,14,12.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  11.1,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 286.31,1994, 9,19,   0,71119,   0.0,  11.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 286.71,1994, 9,20,   0,71120,Lake Tuggeranong,TUG061,20 09 1994,8.8,7.1,0.543,1.2,8.58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  24.7,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 257.92,1995, 3,24,   0,71305,   0.0,  20.3,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 258.91,1995, 3,25,   0,71306,Lake Tuggeranong,TOM,25 03 1995,20.92,8.61,438,6,13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  16.2,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 219.55,1995, 9,27,   0,71492,   0.0,  18.7,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 221.02,1995, 9,28,   0,71493,Lake Tuggeranong,TOM,28 09 1995,12.49,8.48,430,2.7,12.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  28.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 274.45,2004, 3,15,   0,74584,   0.0,  26.5,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 275.50,2004, 3,16,   0,74585,Lake Tuggeranong,CTT300 ,16 03 2004,2,7,630,10,17,123,-9999,-9999,-9999,-9999,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  16.7,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 311.99,2004, 5,11,   0,74641,   0.0,  16.7,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 312.40,2004, 5,12,   0,74642,Lake Tuggeranong,CTT300 ,12 05 2004,3.5,6.5,400,15,10.2,78,-9999,-9999,-9999,-9999,-9999,-9999,0.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.4,  12.6,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.01, 313.17,2004, 7, 8,   0,74699,   0.0,  13.3,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 313.50,2004, 7, 9,   0,74700,Lake Tuggeranong,CTT300 ,9 07 2004,7.5,7.4,636,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   2.0,   9.9,      -1.000,      -1.000,      -1.000,   3.80,   2.20,   0.05, 302.44,2004, 8, 4,   0,74726,   0.0,  13.3,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 302.81,2004, 8, 5,   0,74727,Lake Tuggeranong,CTT300 ,5 08 2004,7.9,7.5,596,9,16,135,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
   0.0,  20.8,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 235.37,2004, 9,22,   0,74775,   0.0,  20.2,      -1.000,      -1.000,      -1.000,   0.00,   0.00,   0.00, 236.68,2004, 9,23,   0,74776,Lake Tuggeranong,CTT300 ,23 09 2004,10,7.9,497,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
