Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
1973, , ,119.2, , ,117, , ,108.4, , ,103.8,112.1
1974, , ,103.2, , ,95.6, , ,90.6, , ,92.2,95.4
1975, , ,114, , ,104.2, , ,100.8, , ,103,105.5
1976,113.6, ,107,110.2, ,107,105.6, ,108,108.8,101.2, ,107.7
1977,104.2, ,98.6,101.6, ,103.8,99.4, ,105,104.4,109.4, ,103.3
1978,119.2, ,114.8,110.8, ,109.6,101.6, ,91.2,104.4,103.6, ,106.9
1979,110.2, ,106.2,109.4, ,92.6,90.2, ,99.4,97.6,98.8, ,100.6
1980,98.8, ,100.8,97.4, ,101.6,98.2, ,104.4,109.8,106.4, ,102.2
1981,113.4, ,111.8,101.8, ,100.8,95, ,92.4,98.2,98, ,101.4
1982,92.4, ,91.8,93.6, ,92.2,80.4, ,84.6,81.2,75.2, ,86.4
1983,87.8, ,97.4,96, ,95.4,98.2, ,100.6,106.4,113.2, ,99.4
1984,124.6, ,120.8,120.8, ,115.6,116.6, ,118.2,117.8,114.6, ,118.6
1985,114.8, ,110.2,99.4, ,98,100.8, ,106.8,107.8,94.8, ,104.1
1986,105.4, ,103.8,94.6,94.8,91.6,79.8,79.8,78.8,89.8,85.6,88.8,90.3
1987,90.4,88,86.8,90.8,91.8,93.4,98.6,96.4,94.8,104,87.2,93,92.9
1988,100.4,98.8,103.6,106.2,104,104,107.6,108.2,112.4,108.8,104.2,105.8,105.3
1989,105,94.6,88.4,88.4,87.4,72.8,73,78.8,82,79,81,80,84.2
1990,101.6,95.6,83.4,88.3,84.7,83.1,79.6,83.9,75.6,71.4,73.1,71.3,82.6
1991,78.5,85.4,85,87.2,87.7,88.6,98.1,95.2,93.3,95.8,91.1,83,89.1
1992,93.6,95.9,96.2,105.4,101.6,97.7,95.4,96.9,96.8,101.2,93.6,92.9,97.3
1993,100.8,100.4,105.9,102.3,102.2,96.2,96.6,100.8,90.2,103.5,111.9,108.5,101.6
1994,120.5,127.5,125.7,127.7,125.2,128,127.6,123.8,123.6,124.6,118.1,118,124.2
1995,112.3,112.4,113.9,114.7,112,112.4,110.2,115.5,111.7,116.2,114.3,111.9,113.1
1996,116.7,119.1,123.7,121.5,118.8,117.8,112.3,114.4,113.2,111.3,113.4,113.2,116.3
1997,119.2,115.1,116.2,112.5,114.2,115.5,110.7,111.7,112.4,112.8,111.6,110.6,113.5
1998,117.8,116,114.9,110.2,114.4,109.8,107.6,111.1,111,113.9,114.2,114.7,112.8
1999,122.1,121.8,122.5,119.6,122.5,122.2,118.2,122.8,122.3,119.6,122.8,122.2,121.6
2000,122.3,119.9,112.9,116.6,112,108.7,114.8,119.1,115.8,115.6,110.3,112.3,115
2001,119.9,109.5,106.2,103.6,107.4,108.6,115.3,116.4,120.9*,106.8,109.4,113.3,111.4
2002,124.8,123,122.3,123.2,124,116.4,123.4,119.9,122.1,117.2,114,109.6,120
2003,122.5,113.4,109.9,120.8,127,122.4,123.2,122.4,123.2,121.2,124.2,120.4,120.9
2004,126,126.8,130.4,124.4,125,125.6,128.9,127.6,126,128.9,124.8,125.5,126.7
2005,133.2,132,121.5,119.4,119.5,118.8,116.8,120.6,114.3,105.4,110.6,117.7,119.2
2006,124.3,124.5,124.4,120.1,106.8,115.1,118.1,103.7^,108.6,115.8,111.5,117.4,115.9
2007,123.9,123.8,120.7,124.3,122.5,122.3,126.8,125.2,118.2,126.2,124.9,126.8,123.8
2008,118.6,115.8,109.5,100.1,97.1,90.7,92,94.7,101.2,90.4,93.1,99.8,100.2
2009,101.1,94.9,95.8,102,101.8,109.6,114.9,121.4,122.9,127,125.9,123.2,111.7
2010,128.7,126.3,127.6,125.4,119.9,119.2,123.9,125.6,123.5,127.5,123.7,120.6,124.3
2011,122.3,118.5,117,119.3,117,111,108.6,107.8,112,111.3,114.6,111,114.2
2012,117.5,114.9,111.6,110.7,110.6,109.7,109.8,113,114.1,114.8,114.1,115.7,113
2013,120.9,119.7,121,121.9,115.3,114.6,116.2,115.6,122.3,121.8,121.1,116.3,118.9
2014,116.7,113.4,112.8,113.4,102.4**,,,,,,,,111.8
